0.69,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.77,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.92,0.08,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.91,0.09,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.90,0.10,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.79,0.21,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
