,C1,C2,C3,state,action,optimal_cost,year
0,76.18947765913136,76.68947765913136,135.25947765913136,9,0,76.18947765913136,1
1,80.5206464903002,79.18947765913136,135.25947765913136,8,1,79.18947765913136,1
2,89.44455953377847,89.0206464903002,135.25947765913136,7,1,89.0206464903002,1
3,106.417372349986,105.94455953377847,135.25947765913136,6,1,105.94455953377847,1
4,121.5313223692055,149.917372349986,135.25947765913136,5,0,121.5313223692055,1
5,130.83090625958272,175.0313223692055,135.25947765913136,4,0,130.83090625958272,1
6,634.3294776591313,186.33090625958272,135.25947765913136,3,2,135.25947765913136,1
7,2134.329477659131,1691.3294776591315,1135.2594776591313,2,2,1135.2594776591313,1
8,2134.329477659131,2192.329477659131,1135.2594776591313,1,2,1135.2594776591313,1
9,2134.329477659131,2192.829477659131,1135.2594776591313,0,2,1135.2594776591313,1
10,75.25947765913136,75.75947765913136,134.32947765913138,9,0,75.25947765913136,2
11,79.5906464903002,78.25947765913136,134.32947765913138,8,1,78.25947765913136,2
12,88.51455953377848,88.0906464903002,134.32947765913138,7,1,88.0906464903002,2
13,105.48737697324287,105.01455953377848,134.32947765913138,6,1,105.01455953377848,2
14,120.60136860275081,148.98737697324287,134.32947765913138,5,0,120.60136860275081,2
15,129.90090626729764,174.10136860275082,134.32947765913138,4,0,129.90090626729764,2
16,633.3994776591314,185.40090626729764,134.32947765913138,3,2,134.32947765913138,2
17,2133.3994776591317,1690.3994776591317,1134.3294776591313,2,2,1134.3294776591313,2
18,2133.3994776591317,2191.3994776591317,1134.3294776591313,1,2,1134.3294776591313,2
19,2133.3994776591317,2191.8994776591317,1134.3294776591313,0,2,1134.3294776591313,2
20,74.32947765913137,74.82947765913137,133.39947765913138,9,0,74.32947765913137,3
21,78.66064649030021,77.32947765913137,133.39947765913138,8,1,77.32947765913137,3
22,87.58455953377847,87.16064649030021,133.39947765913138,7,1,87.16064649030021,3
23,104.55738211007133,104.08455953377847,133.39947765913138,6,1,104.08455953377847,3
24,119.67141997227164,148.05738211007133,133.39947765913138,5,0,119.67141997227164,3
25,128.97090627706336,173.17141997227162,133.39947765913138,4,0,128.97090627706336,3
26,632.4694776591314,184.47090627706336,133.39947765913138,3,2,133.39947765913138,3
27,2132.4694776591314,1689.4694776591314,1133.3994776591314,2,2,1133.3994776591314,3
28,2132.4694776591314,2190.4694776591314,1133.3994776591314,1,2,1133.3994776591314,3
29,2132.4694776591314,2190.9694776591314,1133.3994776591314,0,2,1133.3994776591314,3
30,73.39947765913138,73.89947765913138,132.46947765913137,9,0,73.39947765913138,4
31,77.73064649030022,76.39947765913138,132.46947765913137,8,1,76.39947765913138,4
32,86.65455953377848,86.23064649030022,132.46947765913137,7,1,86.23064649030022,4
33,103.62738781750204,103.15455953377848,132.46947765913137,6,1,103.15455953377848,4
34,118.74147704814348,147.12738781750204,132.46947765913137,5,0,118.74147704814348,4
35,128.040906289425,172.24147704814348,132.46947765913137,4,0,128.040906289425,4
36,631.5394776591313,183.540906289425,132.46947765913137,3,2,132.46947765913137,4
37,2131.539477659131,1688.539477659131,1132.4694776591314,2,2,1132.4694776591314,4
38,2131.539477659131,2189.539477659131,1132.4694776591314,1,2,1132.4694776591314,4
39,2131.539477659131,2190.039477659131,1132.4694776591314,0,2,1132.4694776591314,4
40,72.46947765913139,72.96947765913139,131.5394776591314,9,0,72.46947765913139,5
41,76.80064649030022,75.46947765913139,131.5394776591314,8,1,75.46947765913139,5
42,85.72455953377849,85.30064649030022,131.5394776591314,7,1,85.30064649030022,5
43,102.69739415889367,102.22455953377849,131.5394776591314,6,1,102.22455953377849,5
44,117.81154046404023,146.19739415889367,131.5394776591314,5,0,117.81154046404023,5
45,127.11090630507269,171.31154046404023,131.5394776591314,4,0,127.11090630507269,5
46,630.6094776591315,182.6109063050727,131.5394776591314,3,2,131.5394776591314,5
47,2130.6094776591317,1687.6094776591317,1131.5394776591313,2,2,1131.5394776591313,5
48,2130.6094776591317,2188.6094776591317,1131.5394776591313,1,2,1131.5394776591313,5
49,2130.6094776591317,2189.1094776591317,1131.5394776591313,0,2,1131.5394776591313,5
50,71.53947765913139,72.03947765913139,130.60947765913141,9,0,71.53947765913139,6
51,75.87064649030023,74.53947765913139,130.60947765913141,8,1,74.53947765913139,6
52,84.79455953377851,84.37064649030023,130.60947765913141,7,1,84.37064649030023,6
53,101.76740120463363,101.29455953377851,130.60947765913141,6,1,101.29455953377851,6
54,116.88161092394694,145.26740120463364,130.60947765913141,5,0,116.88161092394694,6
55,126.18090632487986,170.38161092394694,130.60947765913141,4,0,126.18090632487986,6
56,629.6794776591314,181.68090632487986,130.60947765913141,3,2,130.60947765913141,6
57,2129.6794776591314,1686.6794776591314,1130.6094776591315,2,2,1130.6094776591315,6
58,2129.6794776591314,2187.6794776591314,1130.6094776591315,1,2,1130.6094776591315,6
59,2129.6794776591314,2188.1794776591314,1130.6094776591315,0,2,1130.6094776591315,6
60,70.6094776591314,71.1094776591314,129.6794776591314,9,0,70.6094776591314,7
61,74.94064649030025,73.6094776591314,129.6794776591314,8,1,73.6094776591314,7
62,83.86455953377852,83.44064649030025,129.6794776591314,7,1,83.44064649030025,7
63,100.83740903291621,100.36455953377852,129.6794776591314,6,1,100.36455953377852,7
64,115.95168920994635,144.3374090329162,129.6794776591314,5,0,115.95168920994635,7
65,125.25090634995223,169.45168920994635,129.6794776591314,4,0,125.25090634995223,7
66,628.7494776591313,180.75090634995223,129.6794776591314,3,2,129.6794776591314,7
